Depth,Exp
0.0045405,a
0.004501,a
0.0044541,a
0.004442,a
0.0044619,a
0.0044788,a
0.0043639,a
0,a
0,a
0,a
0,a
0,a
0,a
0,a
0,a
0,a
0,a
0,a
0,a
0,a
0,a
0,a
0,a
0,a
0,a
0,a
0,a
0,a
0,a
0,a
0,a
0,a
0,a
0,a
0,a
0,a
0,a
0,a
0,a
0,a
0,a
0,a
0,a
0,a
0,a
0,a
0,a
0,a
0,a
0,a
0,a
0,a
0,a
0,a
0,a
0,a
0,a
0,a
0,a
0,a
0,a
0,a
0,a
0,a
0,a
0,a
0,a
0,a
0,a
0,a
0,a
0,a
0,a
0,a
0,a
0,a
0,a
0,a
0,a
0,a
0,a
0,a
0,a
0,a
0,a
0,a
0,a
-0.00025611,a
-0.00024961,a
-0.0002419,a
-0.00031873,a
-0.00038855,a
-0.00036423,a
-0.00030526,a
-0.00029826,a
-0.00030728,a
-0.00028413,a
-0.00029452,a
-0.00030986,a
-0.00028903,a
-0.00027068,a
-0.00026359,a
-0.00021701,a
-0.0001834,a
-0.00021051,a
-1.22E-05,a
0.00050108,a
0.00090988,a
0.0010754,a
0.0012192,a
0.0014136,a
0.0017743,a
0.0020631,a
0.0022789,a
0.0026164,a
0.0028386,a
0.0029351,a
0.0031191,a
0.0033002,a
0.0034104,a
0.0035798,a
0.0038455,a
0.0040184,a
0.0040863,a
0.0041231,a
0.0041054,a
0.0041531,a
0.0041812,a
0.0041963,a
0.0042362,a
0.0042998,a
0.0043241,a
0.0042439,a
0.0042277,a
0.0042556,a
0.0042444,a
0.004267,a
0.0042825,a
0.0042722,a
0.0042304,a
0.0041673,a
0.0041788,a
0.0041899,a
0.0041549,a
0.004144,a
0.0041348,a
0.0041155,a
0.0041689,a
0.0042159,a
0.0042383,a
0.0042689,a
0.0043015,a
0.0042944,a
0.0042376,a
0.0042011,a
0.0042098,a
0.0042006,a
0.0041517,a
0.0041404,a
0.004132,a
0.004106,a
0.0041166,a
0.0041603,a
0.0042214,a
0.004272,a
0.0042581,a
0.0042752,a
0.0042989,a
0.0042087,a
0.0041183,a
0.0041268,a
0.0041962,a
0.0042504,a
0.0041839,a
0.0041362,a
0.0041731,a
0.0041689,a
0.0041618,a
0.0041309,a
0.0040822,a
0.0040639,a
0.0040861,a
0,a
0,a
0,a
0,a
0,a
0,a
0,a
0,a
0.003993,a
0.0040062,a
0.0040827,a
0.0040911,a
0.004063,a
0.0040307,a
0.0040397,a
0.0041088,a
0,a
0,a
0,a
0,a
0,a
0,a
0,a
0,a
0,a
0,a
0,a
0,a
0,a
0,a
0,a
0,a
0,a
0,a
0,a
0,a
0,a
0,a
0,a
0,a
0,a
0,a
0,a
0,a
0,a
0,a
0,a
0,a
0,a
0,a
0,a
0,a
0,a
0,a
0,a
0,a
0,a
0,a
0,a
0,a
0,a
0,a
0,a
0,a
0,a
0,a
0,a
0,a
0,a
0,a
0,a
0,a
0,a
0,a
0,a
0,a
0,a
0,a
0,a
0,a
0,a
0,a
0,a
0,a
0,a
0,a
0,a
0,a
0,a
0,a
0,a
0,a
0,a
0,a
0,a
0,a
0,a
0,a
0,a
0,a
0,a
0,a
0,a
-0.00024519,a
-0.00024464,a
-0.0002244,a
-0.00025833,a
-0.00024566,a
-0.00024733,a
-0.00027459,a
-0.00021937,a
-0.00014226,a
-0.00019852,a
-0.00027443,a
-0.00020426,a
-0.00013662,a
-3.94E-05,a
0.00028232,a
0.00065961,a
0.00084884,a
0.0010238,a
0.0014001,a
0.0018322,a
0.0021245,a
0.002423,a
0.0027478,a
0.002916,a
0.0029757,a
0.0031063,a
0.0032731,a
0.003396,a
0.0034727,a
0.003558,a
0.0036632,a
0.0037278,a
0.003777,a
0.0038434,a
0.0039396,a
0.0040053,a
0.0040089,a
0.0040278,a
0.00406,a
0.0040528,a
0.0039657,a
0.0038876,a
0.0039157,a
0.0039169,a
0.0038839,a
0.0038883,a
0.003868,a
0.0038789,a
0.0038403,a
0.003813,a
0.0039074,a
0.0039477,a
0.0039118,a
0.0038603,a
0.0038687,a
0.0038885,a
0.0039336,a
0.0039631,a
0.0039892,a
0.0039917,a
0.0039922,a
0.0040323,a
0.0040842,a
0.0041243,a
0.0040213,a
0.0039721,a
0.0040465,a
0.0041172,a
0.004127,a
0.0041131,a
0.0041185,a
0.0040847,a
0.0039836,a
0.0039204,a
0.0039643,a
0.004023,a
0.0040466,a
0.0040559,a
0.0040478,a
0.0040702,a
0.0041461,a
0.0042046,a
0.0041694,a
0.0040617,a
0.0040096,a
0.0040927,a
0.0041996,a
0.0042158,a
0,a
0.0041401,a
0,a
0.0040714,a
0,a
0.0041165,a
0.0040997,a
0.0040852,a
0.0040502,a
0.0040167,a
0.0040523,a
0.0040439,a
0.004028,a
0.0040782,a
0.0041128,a
0,a
0,a
0,a
0,a
0,a
0,a
0,a
0,a
0,a
0,a
0,a
0,a
0,a
0,a
0,a
0,a
0,a
0,a
0,a
0,a
0,a
0,a
0,a
0,a
0,a
0,a
0,a
0,a
0,a
0,a
0,a
0,a
0,a
0,a
0,a
0,a
0,a
0,a
0,a
0,a
0,a
0,a
0,a
0,a
0,a
0,a
0,a
0,a
0,a
0,a
0,a
0,a
0,a
0,a
0,a
0,a
0,a
0,a
0,a
0,a
0,a
0,a
0,a
0,a
0,a
0,a
0,a
0,a
0,a
0,a
0,a
0,a
0,a
0,a
0,a
0,a
0,a
0,a
0,a
0,a
0,a
-0.00041402,a
-0.00044188,a
-0.0004458,a
-0.00041091,a
-0.0004188,a
-0.00046233,a
-0.00040335,a
-0.00033278,a
-0.00036351,a
-0.0004256,a
-0.00048058,a
-0.00046698,a
-0.00040153,a
-0.00034867,a
-0.00028321,a
-0.00025934,a
-0.0003195,a
-0.00027856,a
-1.03E-05,a
0.00042184,a
0.00086233,a
0.0011388,a
0.0013174,a
0.001626,a
0.0020331,a
0.0022124,a
0.0022452,a
0.002456,a
0.0026413,a
0.002734,a
0.0028426,a
0.0030039,a
0.0032683,a
0.0034569,a
0.0035147,a
0.0036025,a
0.0036922,a
0.0037256,a
0.0037468,a
0.0038315,a
0.0039251,a
0.0039876,a
0.00406,a
0.0040805,a
0.0041395,a
0.004145,a
0.0041345,a
0.0041557,a
0.0041671,a
0.0042192,a
0.0042125,a
0.0042019,a
0.0041948,a
0.0041188,a
0.0040804,a
0.0040762,a
0.0040797,a
0.0040645,a
0.0040332,a
0.0041006,a
0.0041832,a
0.0042086,a
0.0042329,a
0.0042462,a
0.0042581,a
0.0042862,a
0.0043138,a
0.004369,a
0.0043885,a
0.004343,a
0.0043004,a
0.0042371,a
0.004181,a
0.0042009,a
0.0042377,a
0.0042779,a
0.0042939,a
0.0042672,a
0.0043113,a
0.0042822,a
0.0041751,a
0.0041351,a
0.0041133,a
0.0041216,a
0.0041072,a
0.0041359,a
0.0041518,a
0.0041801,a
0.0042541,a
0.0042646,a
0.0042792,a
0.0043007,a
0.004296,a
0.004251,a
0.0042574,a
0.0042808,a
0.0042628,a
0.0042802,a
0.004343,a
0.0044173,a
0.0044208,a
0.004379,a
0.0043491,a
0.0043281,a
0.0043496,a
0.0043468,a
0.0043009,a
0.0042567,a
0.0042786,a
0.0043397,a
0.0043501,a
0,a
0,a
0,a
0,a
0,a
0,a
0,a
0,a
0,a
0,a
0,a
0,a
0,a
0,a
0,a
0,a
0,a
0,a
0,a
0,a
0,a
0,a
